25	117	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/atletico-madrid/20180704/45648291942/adan-el-guante-con-el-que-mourinho-abofeteo-a-casillas.html
25	118	Fichajes.com	04/07/2018	es	http://www.fichajes.com/liga/el-atletico-de-madrid-encarrila-el-fichaje-de-antonio-adan_137365
21	119	Fichajes.com	04/07/2018	es	http://www.fichajes.com/breves/willian-se-distancia-del-fc-barcelona_137387
49	120	Fichajes.com	04/07/2018	es	http://www.fichajes.com/breves/el-real-betis-pone-20-meur-por-william-carvalho_137327
32	121	Fichajes.com	04/07/2018	es	http://www.fichajes.com/liga/las-2-ofertas-del-real-madrid-por-thibaut-courtois_137346
1	122	Sky Sports	04/07/2018	en	http://www.skysports.com/football/news/11667/11425730/manchester-united-transfer-rumours-cristiano-ronaldo-luke-shaw-and-lee-grant
17	123	The Sun	03/07/2018	en	https://www.thesun.co.uk/sport/football/6688746/cristiano-ronaldo-real-madrid-juventus-switch/
8	124	Fichajes.com	04/07/2018	es	http://www.fichajes.com/breves/fc-barcelona-el-factor-que-frena-la-operacion-lenglet_137331
17	125	Marca	03/07/2018	es	http://www.marca.com/futbol/real-madrid/2018/07/03/5b3bd88822601dcf388b45bd.html
8	126	Marca	04/07/2018	es	http://www.marca.com/futbol/barcelona/2018/07/04/5b3cf55d22601d7b2d8b4684.html
28	127	O Jogo	03/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/porto/noticias/interior/no-brasil-garantem-benfica-e-mais-tres-para-tras-e-so-o-fc-porto-negoceia-roger-guedes-9542880.html
17	128	Talksport	04/07/2018	en	https://talksport.com/football/395170/real-madrid-88m-bid-juventus-cristiano-ronaldo/
42	129	Talksport	03/07/2018	en	https://talksport.com/football/394316/manchester-city-transfer-news-riyad-mahrez-leicester/
2	130	Goal	03/07/2018	en	http://www.goal.com/en-us/news/man-utd-complete-signing-of-goalkeeper-grant/l5iov2kih77h15r1bynywtn2p
38	131	Goal	03/07/2018	en	http://www.goal.com/en-us/news/manchester-united-goalkeeper-johnstone-completes-65m-west/12g7ppbzvkuis16okxa6vx1sis
50	132	Goal	04/07/2018	en	http://www.goal.com/en-ie/news/everton-launch-24m-bid-for-barcelona-star-mina/5h4vkdk2bs0y184ml9ntqpead
43	133	Talksport	03/07/2018	en	https://talksport.com/football/394362/arsenal-transfer-news-france-star-steven-nzonzi-makes-urge-to-leave-sevilla-clear/
21	134	Talksport	03/07/2018	en	https://talksport.com/football/394350/chelsea-transfer-news-barcelona-willian/
51	135	Mundo Deportivo	04/07/2018	es	https://www.mundodeportivo.com/futbol/atletico-madrid/20180704/45649479274/andre-moreira-cerca-del-sporting-de-portugal.html
51	136	ZeroZero	04/07/2018	pt	http://www.zerozero.pt/news.php?id=225125
51	137	Futebol 365	04/07/2018	pt	http://www.futebol365.pt/artigo/192074-mercado-andre-moreira-muito-perto-de-reforcar-o-sporting/
47	138	Talksport	03/07/2018	en	https://talksport.com/football/394472/arsenal-transfer-news-sign-andre-gomes-barcelona/
17	139	The Guardian	04/07/2018	en	https://www.theguardian.com/football/2018/jul/04/football-transfer-rumours-cristiano-ronaldo-to-join-juventus-for-88m
42	140	Sky Sports	03/07/2018	en	http://www.skysports.com/football/news/11712/11424700/riyad-mahrez-set-to-join-man-city-from-leicester-this-week
46	141	Sky Sports	04/07/2018	en	http://www.skysports.com/football/news/11685/11425824/west-ham-make-20m-bid-for-sporting-lisbons-bruno-fernandes
47	142	Independent	04/07/2018	en	https://www.independent.co.uk/sport/football/transfers/arsenal-transfer-news-andre-gomes-barcelona-unai-emery-shortlist-epl-premier-league-a8428661.html
10	143	Metro	04/07/2018	en	https://metro.co.uk/2018/07/04/ever-banega-set-reject-unai-emery-arsenal-stay-sevilla-7682877/
50	144	Liverpool Echo	04/07/2018	en	https://www.liverpoolecho.co.uk/sport/football/transfer-news/everton-yerry-mina-colombia-transfer-14866668
50	145	Daily Express	05/07/2018	en	https://www.express.co.uk/sport/football/984086/Everton-transfer-news-Liverpool-Barcelona-Yerry-Mina-gossip-rumours
21	146	Fox Sports Portuguese	05/07/2018	pt	https://www.foxsports.com.br/news/366314-jornal-revela-por-que-chelsea-pode-ignorar-o-barca-e-negociar-willian-com-outra-equipe
8	147	Daily Mail	04/07/2018	en	http://www.dailymail.co.uk/sport/football/article-5919177/Barcelona-trigger-release-clause-sign-Clement-Lenglet-says-Sevilla-director-football.html
1	148	Daily Express	05/07/2018	en	https://www.express.co.uk/sport/football/984002/Man-Utd-transfer-news-Jose-Mourinho-Cristiano-Ronaldo-Real-Madrid-rumours-gossip-news
17	149	Talksport	05/07/2018	en	https://talksport.com/football/395269/cristiano-ronaldo-juventus-transfer-completed/
22	150	Daily Mirror	04/07/2018	en	https://www.mirror.co.uk/sport/football/news/chelsea-will-sanction-sale-willian-12849996
45	151	ZeroZero	05/07/2018	pt	http://www.zerozero.pt/news.php?id=225232
45	152	Futebol 365	05/07/2018	pt	http://www.futebol365.pt/artigo/192131-mercado-gelson-martins-muito-perto-de-assinar-pelo-atletico-de-madrid/
49	153	O Jogo	05/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/sporting/noticias/interior/sim-estamos-a-negociar-o-william-revela-o-presidente-do-betis-9554285.html
17	154	O Jogo	05/07/2018	pt	https://www.ojogo.pt/internacional/cristiano-ronaldo/noticias/interior/ronaldo-ja-assinou-e-fez-exames-medicos-em-munique-diz-ex-dirigente-da-juve-9552929.html
52	155	The Sun	05/07/2018	en	https://www.thesun.co.uk/sport/football/6696646/xherdan-shaqiri-man-utd-jose-mourinho-stoke-12m-bid/
52	156	Daily Mail	05/07/2018	en	http://www.dailymail.co.uk/sport/football/article-5920075/Manchester-United-considering-12m-Xherdan-Shaqiri.html
52	157	O Jogo	05/07/2018	pt	https://www.ojogo.pt/internacional/noticias/interior/mourinho-uma-troca-em-agenda-e-a-hipotese-shaqiri-9553112.html
17	158	Mundo Deportivo	05/07/2018	es	https://www.mundodeportivo.com/futbol/real-madrid/20180705/45661798207/real-madrid-fichajes-futbol.html
52	159	Fichajes.com	05/07/2018	es	http://www.fichajes.com/premier-league/manchester-united-jose-mourinho-promueve-un-fichaje-de-13-5-meur_137414
53	160	Fichajes.com	05/07/2018	es	http://www.fichajes.com/liga/colocan-al-fc-barcelona-tras-los-pasos-de-hector-herrera_137445
21	161	Fichajes.com	05/07/2018	es	http://www.fichajes.com/liga/fc-barcelona-el-gran-rival-en-la-puja-por-willian_137404
17	162	Fichajes.com	05/07/2018	es	http://www.fichajes.com/liga/real-madrid-es-ya-inevitable-el-adios-de-cristiano-ronaldo_137396
45	163	Mundo Deportivo	05/07/2018	es	https://www.mundodeportivo.com/futbol/atletico-madrid/20180705/45687340872/gelson-martins-toma-fuerza-fichaje-atletico.html
17	164	Mundo Deportivo	05/07/2018	es	https://www.mundodeportivo.com/futbol/20180705/45686060245/ronaldo-cerrara-acuerdo-con-el-juventus-en-proximas-horas-asegura-record.html
49	165	Marca	05/07/2018	es	http://www.marca.com/futbol/betis/2018/07/05/5b3d4e57268e3eec278b4587.html
13	166	Fichajes.com	05/07/2018	es	http://www.fichajes.com/liga/el-fc-barcelona-encarrila-un-fichaje-de-39-meur_137398
54	167	Metro	04/07/2018	en	https://metro.co.uk/2018/07/04/chelsea-make-contact-real-madrid-mateo-kovacic-transfer-move-7684357/
60	168	Be Soccer Portuguese	05/07/2018	pt	https://pt.besoccer.com/noticia/kovacic-pode-parar-na-premier-league-461522
1	169	Fichajes.com	06/07/2018	es	http://www.fichajes.com/premier-league/el-manchester-united-hara-un-ultimo-intento-por-cristiano-ronaldo_137480
47	170	Mundo Deportivo	06/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180706/45715934166/el-sacrificio-del-arsenal-para-fichar-a-andre-gomes.html
17	171	Fichajes.com	06/07/2018	es	http://www.fichajes.com/breves/se-marchara-cristiano-ronaldo-sin-despedirse_137483
17	172	Marca	06/07/2018	es	http://www.marca.com/futbol/real-madrid/2018/07/06/5b3e54a9ca4741ed0a8b45c8.html
40	173	Marca	06/07/2018	es	http://www.marca.com/futbol/barcelona/2018/07/06/5b3f2868ca474195798b45f2.html
40	174	Mundo Deportivo	06/07/2018	es	https://www.mundodeportivo.com/futbol/fc-barcelona/20180706/45715371534/paulinho-muy-cerca-de-volver-al-guangzhou-evergrande.html
40	175	Fichajes.com	06/07/2018	es	http://www.fichajes.com/breves/se-aproxima-la-salida-de-paulinho-del-fc-barcelona_137493
25	176	Mundo Deportivo	06/07/2018	es	https://www.mundodeportivo.com/futbol/atletico-madrid/20180706/45714747191/adan-madrid-firmar-atletico-fichaje.html
13	177	Fichajes.com	06/07/2018	es	http://www.fichajes.com/liga/el-fichaje-de-arthur-por-el-fc-barcelona-a-falta-de-detalles_137510
45	178	Sapo	06/07/2018	pt	https://desporto.sapo.pt/futebol/primeira-liga/artigos/gelson-cada-vez-mais-perto-do-atletico-de-madrid
45	179	Marca	06/07/2018	es	http://www.marca.com/futbol/atletico/2018/07/06/5b3e61c1268e3e85278b45fe.html
13	180	Marca	06/07/2018	es	http://www.marca.com/futbol/barcelona/2018/07/06/5b3f75e946163f452c8b464c.html
45	181	ZeroZero	06/07/2018	pt	http://www.zerozero.pt/news.php?id=225298
13	182	ZeroZero	06/07/2018	pt	http://www.zerozero.pt/news.php?id=225353
55	183	ZeroZero	05/07/2018	pt	http://www.zerozero.pt/news.php?id=225285
55	184	Futebol 365	05/07/2018	pt	http://www.futebol365.pt/artigo/192160-mercado-sousa-cintra-tenta-regresso-de-nani-ao-sporting/
56	185	Fichajes.com	06/07/2018	es	http://www.fichajes.com/premier-league/manchester-city-daniel-arzani-el-ultimo-talento-que-ha-impresionado-a-guardiola_137426
57	186	ZeroZero	06/07/2018	pt	http://www.zerozero.pt/news.php?id=225300
49	187	O Jogo	06/07/2018	pt	https://www.ojogo.pt/futebol/1a-liga/sporting/noticias/interior/william-carvalho-pediu-nos-uns-dias-para-pensar-garante-serra-ferrer-9559686.html
17	188	O Jogo	06/07/2018	pt	https://www.ojogo.pt/internacional/cristiano-ronaldo/noticias/interior/cristiano-ronaldo-nao-quer-despedida-em-madrid-avancam-em-espanha-9558718.html
58	189	O Jogo	06/07/2018	pt	https://www.ojogo.pt/internacional/noticias/interior/wolverhampton-quer-roubar-defesa-ao-city-e-faz-proposta-recorde-9560792.html
40	190	O Jogo	06/07/2018	pt	https://www.ojogo.pt/internacional/noticias/interior/barcelona-recebe-oferta-milionaria-por-paulinho-revela-o-sport-9558650.html
1	191	Goal	06/07/2018	en	http://www.goal.com/en-us/news/transfer-news-rumours-live-man-utd-look-to-beat-juventus-to/11qfl82n4zkrj1hh3m3g7lgv6g
13	192	Goal	06/07/2018	en	http://www.goal.com/en-us/news/arthur-confirms-barcelona-transfer-ahead-of-2018-19-season/1wgittwpbkefh1hu2htkotguk4
45	193	Talksport	06/07/2018	en	https://talksport.com/football/395962/arsenal-liverpool-transfer-news-gelson-martins-atletico-madrid/
58	194	Talksport	06/07/2018	en	https://talksport.com/football/395935/wolves-agree-deal-manchester-citys-oleksandr-zinchenko/
59	195	Talksport	06/07/2018	en	https://talksport.com/football/395762/tottenham-hotspur-transfer-news-steven-nzonzi/
